RowID, sim, motion, dimensions, ind.production, biomass.prod.N, biomass.prod.P, biomass.prod.C, res.inflow, N.types, P.types, C.types, max.res.val, max.growth.rate, max.met.maint, max.active.dispersal, barrier.width, barrier.height, logseries.a, starting.seed, flow.rate, width, height, viscosity, total.abundance, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, species.richness, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, tracer.particles, resource.particles, speciation, species.turnover, avg.per.capita.growth, avg.per.capita.maint, avg.per.capita.N.efficiency, avg.per.capita.P.efficiency, avg.per.capita.C.efficiency, avg.per.capita.active.dispersal, amplitude, flux, frequency, phase, disturbance
0, 2, 'fluid', 2, 1.5, 0.23098183111467518, 0.20125491519763494, 0.019340309980458881, 450, 16, 14, 12, 10000, 0.4, 0.0004, 0.01, 0.0, 0.0, 0.9916779741641203, 500, 1.0, 20, 6, 10, 16.5, 1, 10.051950110153015, 9.6374999999999993, 11.984224276527332, 18.9375, 3.7218984704619862, 42.0, 6.5, 0.61749999999999994, 0.71178803536308222, 0.44444444444444442, 0.71315586419753085, 6.5, 1.177521243054338, 10.0, 2272.5, 'yes', 0.53846153846153855, 0.32049959944018613, 0.00075207134426135249, 0.52790931550891917, 0.56924710814099044, 0.49239988130441625, 0.0098190959302910576, 0.5, 'no', 0.02, 8, 0.02
1, 2, 'fluid', 2, 1.0, 0.092151744963014148, 0.028915068521783882, 0.035625659814528421, 450, 16, 14, 12, 10000, 0.4, 0.0004, 0.01, 0.0, 0.0, 0.9916779741641203, 500, 0.90000000000000002, 20, 6, 10, 15.0, 1, 11.181938475204309, 11.269135802469137, 9.8503132212331028, 19.149999999999999, 3.7224401267590488, 42.0, 5.0, 0.60715000000000008, 0.68539402363059676, 0.11904761904761904, 0.66011589821113636, 7.5, 1.1529223542887457, 9.0, 2298.0, 'yes', 0.39999999999999991, 0.28831452363081161, 0.00079556684226935348, 0.4982222782298647, 0.51465314899267811, 0.53333237513976939, 0.0099394040988088576, 0.5, 'no', 0.02, 8, 0.02
2, 2, 'fluid', 2, 1.0, 0.080039518652801123, 0.075002973944292839, 0.15244594566623026, 450, 16, 14, 12, 10000, 0.4, 0.0004, 0.01, 0.0, 0.0, 0.9916779741641203, 500, 0.80000000000000004, 20, 6, 10, 16.5, 1, 12.59192632440994, 14.314285714285715, 15.257606490872211, 19.212499999999999, 3.723298441575297, 42.0, 6.0, 0.73019999999999996, 0.74667156757236497, 0.18421052631578946, 0.74204307761885924, 6.0, 0.65510231733055801, 16.5, 2305.5, 'yes', 0.5, 0.27585751933414232, 0.0007382160723730754, 0.48138327713585571, 0.5152461147062356, 0.52529366488426421, 0.010018488798626648, 0.5, 'no', 0.02, 8, 0.02
3, 2, 'fluid', 2, 8.0, 0.29058183967501749, 0.18787383380006151, 0.33778024713880539, 450, 16, 14, 12, 10000, 0.4, 0.0004, 0.01, 0.0, 0.0, 0.9916779741641203, 500, 0.69999999999999996, 20, 6, 10, 73.5, 1, 12.746598373527092, 16.475000000000001, 21.044724186318987, 18.412500000000001, 3.718990993817858, 42.0, 18.5, 0.66070000000000007, 0.67907180626618979, 0.32500000000000001, 0.8825029450058901, 9.5, 0.94665330222951316, 9.5, 2209.5, 'yes', 0.56756756756756754, 0.27670917205055956, 0.00070602996584140203, 0.48764560964394277, 0.52097821540733069, 0.51828505007062364, 0.010007404497265376, 0.5, 'no', 0.02, 8, 0.02
4, 2, 'fluid', 2, 32.5, 1.48778625058599, 1.6865665148679945, 2.2937520740671253, 450, 16, 14, 12, 10000, 0.4, 0.0004, 0.01, 0.0, 0.0, 0.9916779741641203, 500, 0.59999999999999998, 20, 6, 10, 326.0, 1, 13.341967394815294, 13.833333333333332, 22.979822076629091, 17.758333333333333, 3.7235799346044081, 42.0, 32.5, 0.39649999999999996, 0.44897371776533573, 0.31981981981981983, 0.91379283696184022, 47.0, 2.0715302868890193, 9.0, 2131.0, 'yes', 0.44615384615384612, 0.28047197775979565, 0.00071956605559478034, 0.48994967113122218, 0.52116234992083876, 0.51983900833730246, 0.010014913479784993, 0.5, 'no', 0.02, 8, 0.02
5, 2, 'fluid', 2, 23.5, 2.4996067706715821, 1.8360640941821735, 1.3790383290763941, 450, 16, 14, 12, 10000, 0.4, 0.0004, 0.01, 0.0, 0.0, 0.9916779741641203, 500, 0.5, 20, 6, 10, 236.0, 1, 16.108158516189249, 13.5, 28.427200806338206, 18.216666666666669, 3.7191661212537932, 42.0, 20.0, 0.34420000000000001, 0.37146909191531657, 0.79508196721311475, 0.8337690477610854, 59.0, 1.996054305805544, 6.5, 2186.0, 'yes', 0.5, 0.29056343524940281, 0.0007501594920851282, 0.49576401679847232, 0.51926422833690677, 0.521094257669384, 0.010042780060977698, 0.5, 'no', 0.02, 8, 0.02
6, 2, 'fluid', 2, 66.0, 5.9045305068124634, 4.1473418020304713, 5.6205955856616718, 450, 16, 14, 12, 10000, 0.4, 0.0004, 0.01, 0.0, 0.0, 0.9916779741641203, 500, 0.40000000000000002, 20, 6, 10, 569.5, 1, 18.233342005608073, 25.5, 34.682736748346031, 16.558333333333334, 3.7232115192160453, 42.0, 24.0, 0.30880000000000002, 0.24640184694553496, 0.18688118811881188, 0.86041833820888747, 131.0, 2.007168385217605, 12.0, 1987.0, 'yes', 0.29166666666666674, 0.29189795628566101, 0.00078844941847415972, 0.49729361011220169, 0.51006580077549912, 0.51938722643495161, 0.010130092589140339, 0.5, 'no', 0.02, 8, 0.02
7, 2, 'fluid', 2, 353.5, 23.924389535027743, 26.613672309598826, 21.34176726067524, 450, 16, 14, 12, 10000, 0.4, 0.0004, 0.01, 0.0, 0.0, 0.9916779741641203, 500, 0.20000000000000001, 20, 6, 10, 3046.5, 1, 16.700657932507376, nan, 44.863317725272502, 5.2541666666666664, 3.7022291517121904, 42.0, 40.5, 0.23319999999999999, 0.12515347027935692, 0.061721404303510759, 0.89314488236260148, 583.5, 2.2484871057807174, 8.0, 630.5, 'yes', 0.40740740740740744, 0.29542226653652093, 0.00080129307462539312, 0.49593107846135537, 0.51411970202697499, 0.51905333059200898, 0.010151655177895038, 0.5, 'no', 0.02, 8, 0.02
8, 2, 'fluid', 2, 257.5, 15.098137384250919, 12.572572931460869, 7.5429940547627865, 450, 16, 14, 12, 10000, 0.4, 0.0004, 0.01, 0.0, 0.0, 0.9916779741641203, 500, 0.10000000000000001, 20, 6, 10, 3268.5, 1, 21.762099593584757, nan, 89.028537695358395, 4.0374999999999996, 3.6967350523213378, 42.0, 15.0, 0.1084, 0.095753082508070853, 0.39423373419673141, 0.3611747960515595, 2555.5, 3.2266204118349515, 6.5, 484.5, 'yes', 0.60000000000000009, 0.30290329518604847, 0.00079004898243360431, 0.49870943884352253, 0.51835329816087183, 0.52032867202648858, 0.010146739187529657, 0.5, 'no', 0.02, 8, 0.02
9, 2, 'fluid', 2, 355.5, 9.6986628049742478, 17.873764212393581, 14.960753782197969, 450, 16, 14, 12, 10000, 0.4, 0.0004, 0.01, 0.0, 0.0, 0.9916779741641203, 500, 0.089999999999999997, 20, 6, 10, 4860.5, 1, 19.44142200806813, 57.5, 84.729911035948106, 2.3791666666666664, 3.6469671331117031, 42.0, 24.0, 0.073599999999999999, 0.10616206206405032, 0.36307438697712757, 0.43320549121322882, 3575.5, 4.3011343791256849, 6.0, 285.5, 'yes', 0.58333333333333326, 0.30946655337331241, 0.00077665877763206264, 0.5080632535219739, 0.51973302039953118, 0.52213219035249581, 0.010142653350556211, 0.5, 'no', 0.02, 8, 0.02
