RowID, sim, motion, D, ind.prod, biomass.prod, res.inflow, res.types, max.res.val, barrier.width, barrier.height, logseries.a, starting.seed, lower.limit, FlowRate, Width, Height, Viscosity, N, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, S, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, avg.per.capita.growth, avg.per.capita.maint, tracer.particles, resource.particles
0 , 0 , random_walk , 2 , 0.0 , 0.00333360345545 , 300 , 8 , 8000 , 0.0 , 0.0 , 0.991664918225 , 10 , 50 , 1.0 , 6 , 6 , 1 , 0.5 , 0 , 0.0 , nan , 0.0 , 55.1944444444 , 2.0738361812 , 8.0 , 0.5 , 1.0 , 1.0 , 0.0 , 0.0 , 1.0 , 0.0 , 0.261639728614 , 0.00456877416499 , 5.0 , 564.0
1 , 0 , random_walk , 2 , 0.0 , 0.0 , 300 , 8 , 8000 , 0.0 , 0.0 , 0.991664918225 , 10 , 40 , 0.75 , 6 , 6 , 1 , 0.0 , 0 , 0.0 , 0.0 , 0.0 , 30.9166666667 , 2.06790516018 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 8.0 , 327.0
2 , 0 , random_walk , 2 , 10.25 , 1.93292339538 , 300 , 8 , 8000 , 0.0 , 0.0 , 0.991664918225 , 10 , 40 , 0.5 , 6 , 6 , 1 , 46.0 , 0 , 0.0 , 0.0 , 0.0 , 66.7847222222 , 2.07603102724 , 8.0 , 1.0 , 1.0 , 1.0 , 0.717364433812 , 0.0 , 46.0 , 0.0 , 0.458192588621 , 0.00102327135317 , 5.75 , 686.0
3 , 0 , random_walk , 2 , 9.25 , 1.21345696987 , 300 , 8 , 8000 , 0.0 , 0.0 , 0.991664918225 , 10 , 20 , 0.25 , 6 , 6 , 1 , 53.5 , 0 , 0.0 , 0.0 , 0.0 , 110.472222222 , 2.07734697195 , 8.0 , 1.0 , 1.0 , 1.0 , 1.54625034464 , 0.0 , 53.5 , 0.0 , 0.235145788473 , 0.00747163688369 , 9.0 , 1134.75
4 , 0 , random_walk , 2 , 38.25 , 5.28204170878 , 300 , 8 , 8000 , 0.0 , 0.0 , 0.991664918225 , 10 , 20 , 0.1 , 6 , 6 , 1 , 215.25 , 0 , 0.0 , 0.0 , 0.0 , 193.277777778 , 2.0757013976 , 8.0 , 3.5 , 0.646425 , 0.375268389355 , 0.43446380476 , 0.509267155717 , 132.25 , 0.277116497233 , 0.272777538073 , 0.00624932361588 , 9.0 , 1989.5
5 , 0 , random_walk , 2 , 0.0 , 0.0 , 300 , 8 , 8000 , 0.0 , 0.0 , 0.991664918225 , 10 , 10 , 0.075 , 6 , 6 , 1 , 0.0 , 0 , nan , nan , nan , 5.05555555556 , 2.04140024393 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 49.0
6 , 0 , random_walk , 2 , 0.0 , 0.0 , 300 , 8 , 8000 , 0.0 , 0.0 , 0.991664918225 , 10 , 10 , 0.05 , 6 , 6 , 1 , 0.0 , 0 , nan , nan , nan , 2.38888888889 , 1.99606012857 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 28.0
7 , 0 , random_walk , 2 , 0.0 , 0.0 , 300 , 8 , 8000 , 0.0 , 0.0 , 0.991664918225 , 10 , 10 , 0.025 , 6 , 6 , 1 , 0.0 , 0 , nan , nan , nan , 1.41666666667 , 1.83378554682 , 7.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 14.0
8 , 0 , random_walk , 2 , 0.0 , 0.0 , 300 , 8 , 8000 , 0.0 , 0.0 , 0.991664918225 , 10 , 5 , 0.01 , 6 , 6 , 1 , 0.0 , 0 , nan , nan , nan , 0.138888888889 , 0.69314718056 , 2.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 2.0
9 , 1 , random_walk , 2 , 3.75 , 0.707923261747 , 200 , 1 , 500 , 0.0 , 0.0 , 0.923636739339 , 40 , 50 , 1.0 , 9 , 6 , 1 , 12.75 , 0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.0 , 1.0 , 0.8874 , 0.856479461938 , 3.8954248366 , 0.0816326530612 , 16.3333333333 , 0.0 , 0.484297133962 , 0.00414565550475 , 4.5 , 342.0
10 , 1 , random_walk , 2 , 8.5 , 1.98635661204 , 200 , 1 , 500 , 0.0 , 0.0 , 0.923636739339 , 40 , 40 , 0.75 , 9 , 6 , 1 , 35.25 , 0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.0 , 2.5 , 0.6288 , 0.539343134412 , 0.602966485507 , 0.304343152435 , 27.75 , 0.229794910486 , 0.461001603093 , 0.00410427354385 , 5.5 , 302.75
11 , 1 , random_walk , 2 , 13.75 , 1.9063333666 , 200 , 1 , 500 , 0.0 , 0.0 , 0.923636739339 , 40 , 40 , 0.5 , 9 , 6 , 1 , 69.0 , 0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.0 , 1.75 , 0.807975 , 0.620543796405 , 1.37033121917 , 0.148929265953 , 53.5 , -0.17606817162 , 0.454634050828 , 0.00568596980062 , 4.75 , 361.5
12 , 1 , random_walk , 2 , 0.0 , 0.000263703338962 , 200 , 1 , 500 , 0.0 , 0.0 , 0.923636739339 , 40 , 20 , 0.25 , 9 , 6 , 1 , 0.0 , 0 , nan , nan , 0.0 , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 6.0 , 1752.0
13 , 1 , random_walk , 2 , 0.0 , 0.0 , 200 , 1 , 500 , 0.0 , 0.0 , 0.923636739339 , 40 , 20 , 0.1 , 9 , 6 , 1 , 0.0 , 0 , nan , nan , nan , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 30.0
14 , 1 , random_walk , 2 , 0.0 , 0.0 , 200 , 1 , 500 , 0.0 , 0.0 , 0.923636739339 , 40 , 10 , 0.075 , 9 , 6 , 1 , 0.0 , 0 , nan , nan , 0.0 , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 3.0 , 483.0
15 , 1 , random_walk , 2 , 0.0 , 0.00072941242833 , 200 , 1 , 500 , 0.0 , 0.0 , 0.923636739339 , 40 , 10 , 0.05 , 9 , 6 , 1 , 0.0 , 0 , nan , nan , 0.0 , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 1.0 , 273.0
16 , 1 , random_walk , 2 , 410.0 , 28.4158125525 , 200 , 1 , 500 , 0.0 , 0.0 , 0.923636739339 , 40 , 10 , 0.025 , 9 , 6 , 1 , 4353.25 , 0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 1.0 , 6.25 , 0.16115 , 0.0690363453499 , 0.757301811008 , 0.0028782537934 , 4347.0 , 1.85195096049 , 0.398995880554 , 0.00521107067722 , 18.75 , 321.5
17 , 1 , random_walk , 2 , 0.0 , 0.0 , 200 , 1 , 500 , 0.0 , 0.0 , 0.923636739339 , 40 , 5 , 0.01 , 9 , 6 , 1 , 0.0 , 0 , nan , nan , 0.0 , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 44.0
18 , 2 , random_walk , 2 , 0.0 , 0.0 , 400 , 2 , 1000 , 0.0 , 0.0 , 0.990658128195 , 40 , 50 , 1.0 , 5 , 7 , 1 , 0.0 , 0 , 0.0 , 0.0 , 0.0 , 7.48571428571 , 0.692808562163 , 2.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 6.0 , 538.0
19 , 2 , random_walk , 2 , 9.5 , 2.10361026897 , 400 , 2 , 1000 , 0.0 , 0.0 , 0.990658128195 , 40 , 40 , 0.75 , 5 , 7 , 1 , 32.25 , 0 , 0.0 , 0.0 , 0.0 , 7.10714285714 , 0.692981991063 , 2.0 , 1.5 , 0.84325 , 0.802237988863 , 0.999735449735 , 0.0265775034294 , 31.5 , 0.176533306773 , 0.382962131135 , 0.00908218732228 , 4.0 , 502.75
20 , 2 , random_walk , 2 , 19.75 , 4.16497064602 , 400 , 2 , 1000 , 0.0 , 0.0 , 0.990658128195 , 40 , 40 , 0.5 , 5 , 7 , 1 , 76.0 , 0 , 0.0 , 0.0 , 0.0 , 9.85 , 0.692306839422 , 2.0 , 3.0 , 0.69965 , 0.400829042673 , 0.601794871795 , 0.331827537063 , 47.75 , -0.070224648623 , 0.367549272007 , 0.00375347118254 , 4.5 , 705.5
21 , 2 , random_walk , 2 , 18.75 , 3.40672133616 , 400 , 2 , 1000 , 0.0 , 0.0 , 0.990658128195 , 40 , 20 , 0.25 , 5 , 7 , 1 , 83.75 , 0 , 0.0 , 0.0 , 0.0 , 17.7 , 0.692885845721 , 2.0 , 2.0 , 0.839825 , 0.830400829597 , 0.666429394838 , 0.110857296426 , 79.5 , 0.334409131285 , 0.353963183203 , 0.00315671819279 , 6.0 , 1232.75
22 , 2 , random_walk , 2 , 0.0 , 0.0 , 400 , 2 , 1000 , 0.0 , 0.0 , 0.990658128195 , 40 , 20 , 0.1 , 5 , 7 , 1 , 0.0 , 0 , nan , nan , 0.0 , 12.2857142857 , 0.693144463772 , 2.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 2.0 , 858.0
23 , 2 , random_walk , 2 , 73.75 , 11.7742703491 , 400 , 2 , 1000 , 0.0 , 0.0 , 0.990658128195 , 40 , 10 , 0.075 , 5 , 7 , 1 , 360.75 , 0 , 0.0 , 0.0 , 0.0 , 38.4857142857 , 0.690984435572 , 2.0 , 3.5 , 0.479025 , 0.330152525615 , 0.75398855236 , 0.029639294825 , 353.75 , 0.797797428617 , 0.393494651279 , 0.00849589265696 , 8.0 , 2842.25
24 , 2 , random_walk , 2 , 0.0 , 0.0 , 400 , 2 , 1000 , 0.0 , 0.0 , 0.990658128195 , 40 , 10 , 0.05 , 5 , 7 , 1 , 0.0 , 0 , nan , nan , 0.0 , 6.25714285714 , 0.692815326091 , 2.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 1.0 , 427.0
25 , 2 , random_walk , 2 , 0.0 , 0.0 , 400 , 2 , 1000 , 0.0 , 0.0 , 0.990658128195 , 40 , 10 , 0.025 , 5 , 7 , 1 , 0.0 , 0 , nan , nan , 0.0 , 1.48571428571 , 0.673932767869 , 2.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 87.0
